main_category|sub_category|channel|description
information|general news|VRT 1|HET 7 UUR-JOURNAAL
lifestyle|show business/variety/stars|VRT 1|CHATEAU PLANCKAERT
sport|all sports|VRT 1|SPORTWEEKEND
entertainment|dance|VTM|DANCING WITH THE STARS
fiction|police|VRT 1|FLIKKEN MAASTRICHT
information|general news|VTM|NIEUWS 19U VTM
information|general news|VRT 1|HET 1 UUR-JOURNAAL
information|current affair|VRT 1|DE NOODCENTRALE
information|current affair|VRT 1|DE ZEVENDE DAG
information|general news|VRT 1|HET JOURNAAL LAAT
information|general news|VTM|NIEUWS 13U VTM
sport|all sports|PLAY4|SPORTS LATE NIGHT
lifestyle|cooking/food/drink|VRT 1|DAGELIJKSE KOST
information|current affair|VTM|ALLOO BIJ DE VERKEERSPOLITIE
sport|cycling (road)|EUROSPORT 1 (NL)|CYCL. GIRO D'ITALIA
knowledge|human interest/society|VTM|HET ECHTE LEVEN IN DE ZOO
fiction|psychologic drama/melodrama|VRT CANVAS|APPLES NEVER FALL
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - R. UNION ST.-G. - KAA GENT
sport|cycling (road)|EUROSPORT 1 (NL)|KOP OVER KOP
entertainment|humour|PLAY4|GEUBELS EN DE BELGEN
fiction|popular drama/comedy|VRT 1|FC DE KAMPIOENEN
entertainment|talk|VRT 1|CHANTAL
lifestyle|show business/variety/stars|VRT 1|IEDEREEN BEROEMD
knowledge|humanities/history|VRT 1|DE JAREN 80 VOOR TIENERS
knowledge|economy/business|VRT 1|DE MARKT
knowledge|human interest/society|VTM|JONAS & JELLE, FROM ZERO TO HERO
fiction|adventure|VTM|CRUELLA
fiction|thriller|VRT CANVAS|OXEN
lifestyle|travel/tourism|VRT 1|DOWN THE ROAD
sport|cycling (road)|VRT 1|GIRO MAGAZINE
information|current affair|VRT 1|DE WEEK VAN BRUZZ
fiction|thriller|VTM3|MOMENTUM
fiction|popular soap|VRT 1|THUIS
entertainment|game|VRT 1|BLOKKEN
entertainment|game|VTM|I CAN SEE YOUR VOICE
fiction|popular soap|VTM|FAMILIE
entertainment|music|VRT 1|LA VIE EN ROSE
fiction|police|VRT CANVAS|RIDLEY
information|current affair|VRT CANVAS|DE AFSPRAAK
information|current affair|VRT CANVAS|TER ZAKE
knowledge|human interest/society|VRT 1|HAAT
knowledge|human interest/society|VTM|EEN ECHTE JOB, VROEDVROUW AN
lifestyle|show business/variety/stars|PLAY4|THE REAL HOUSEWIVES OF ANTWERP
lifestyle|home/decorating|VTM|HUIS GEMAAKT
entertainment|variety|VRT 1|WONDER BOVEN WONDER
information|current affair|VRT 1|112 HULP IS ONDERWEG
entertainment|game|PLAY4|KAMP JEROOM
entertainment|talk|VTM|BAR GOENS
entertainment|talk|PLAY4|DE TAFEL VAN GERT
information|current affair|VTM|TELEFACTS
fiction|popular drama/comedy|VTM|MILO
entertainment|game|VRT CANVAS|CAMPUS CUP
lifestyle|home/decorating|VRT 1|ONS HUIS, NIEUW HUIS
knowledge|economy/business|VTM|WAT VERDIENT VLAANDEREN?
entertainment|variety|PLAY4|VIVA LA FETA
fiction|police|VRT 1|RECHT OP RECHT
sport|football|PLAY6|VB. C3 UEFA FIN - TOTTENHAM/MANCHESTER UNITED
lifestyle|travel/tourism|VRT 1|MET DE WIND MEE
information|current affair|VRT 1|POLITIE 24/7
fiction|thriller|PLAY4|ASSISEN
fiction|psychologic drama/melodrama|VRT 1|GLORIA MUNDI
knowledge|human interest/society|VRT 1|ZELFDE DEUR, 20 JAAR LATER
lifestyle|home/decorating|PLAY4|BLIND GEKOCHT
knowledge|human interest/society|VTM|ZE ZEGGEN DAT
sport|football|VRT CANVAS|EXTRA TIME
entertainment|game|PLAY4|DE MOL
knowledge|human interest/society|VTM2|JONAS & JELLE, FROM ZERO TO HERO
entertainment|humour|VRT 1|DE IDEALE WERELD
entertainment|music|VRT 1|EUROVISIE SONGFESTIVAL
entertainment|music|VRT 1|EUROVISION HALLO BASEL
fiction|action|VTM|SKYSCRAPER
knowledge|human interest/society|VRT CANVAS|DE OVERLEVERS
knowledge|economy/business|VRT 1|ANDERMANS ZAKEN
entertainment|talk|VRT 1|DE CLUB
knowledge|human interest/society|VTM2|MARKTKRAMERS
entertainment|music|VTM|LIEFDE VOOR MUZIEK
knowledge|human interest/society|VRT 1|ONTROUW
knowledge|human interest/society|VTM2|EEN ECHTE JOB, VROEDVROUW AN
entertainment|music|VRT 1|RED SEBASTIAN, DE WEG NAAR EUROVISION
entertainment|talk|PLAY4|CAFE DE MOL
sport|cycling (road)|VTM|CYCL. GIRO D'ITALIA
information|current affair|VTM|HELDEN VAN HIER, DE MUG
sport|football|DAZN PRO LEAGUE 1 (NL)|VB. JUPILER PRO LEAGUE - KRC GENK - CLUB BRUGGE
fiction|police|VRT CANVAS|VERA
entertainment|humour|VRT 1|URBANUS, BIS! BIS! BIS!
fiction|action|VTM|MISSION IMPOSSIBLE
sport|volleyball|VRT 1|VOLLEY. BB. (S.)
knowledge|humanities/history|VRT CANVAS|TANKS EN TRACTOREN
fiction|action|VTM|9-1-1
fiction|police|VRT CANVAS|GRACE
information|special event|VRT 1|EXTRA JOURNAAL
information|special event|VTM|EXTRA NIEUWS
sport|football|VTM2|VB. C1 UEFA 1/2F - PARIS-ST-G./ARSENAL
sport|football|VTM2|VB. C1 UEFA 1/2F - INT.MILAAN/FC BARCELONA
knowledge|medecin/health|VRT CANVAS|THERAPIE
sport|football|VTM2|VB. BB. FIN - CL.BRUGGE/ANDERLECHT
sport|cycling (road)|VRT 1|WIELRENNEN. FAMENNE ARDENNE CLASSIC
